INFO 2025-11-26 15:11:56,557 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:11:58,470 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14072
INFO 2025-11-26 15:11:58,492 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:12:03,792 basehttp 213 "GET /admin/users/hostel/ HTTP/1.1" 200 11915
INFO 2025-11-26 15:12:03,818 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:12:09,673 basehttp 213 "GET /admin/users/floor/ HTTP/1.1" 200 11221
INFO 2025-11-26 15:12:09,699 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:12:10,435 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14072
INFO 2025-11-26 15:12:10,458 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:10,112 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\models.py changed, reloading.
INFO 2025-11-26 15:14:10,649 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:14:14,291 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14073
INFO 2025-11-26 15:14:14,316 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:20,179 basehttp 213 "GET /admin/users/user/1/change/ HTTP/1.1" 200 27848
INFO 2025-11-26 15:14:20,204 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:24,301 basehttp 213 "POST /admin/users/user/1/change/ HTTP/1.1" 302 0
INFO 2025-11-26 15:14:24,317 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14255
INFO 2025-11-26 15:14:24,342 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:27,715 basehttp 213 "GET /admin/users/user/2/change/ HTTP/1.1" 200 27866
INFO 2025-11-26 15:14:27,739 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:34,064 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14076
INFO 2025-11-26 15:14:36,569 basehttp 213 "GET /admin/users/user/3/change/ HTTP/1.1" 200 27866
